threshold,roc_auc,pr_auc,accuracy,precision,recall,f1,balanced_accuracy,tn,fp,fn,tp
0.5,0.7148558273403764,0.7823566120240091,0.6665286089999793,0.7204131965543125,0.7087846391897594,0.7145516104444011,0.6573943847739459,12031,7822,8281,20155
0.51,0.7148558273403764,0.7823566120240091,0.6651204207997681,0.726249769415237,0.6922562948375299,0.7088457175780055,0.6592546270440105,12433,7420,8751,19685
0.52,0.7148558273403764,0.7823566120240091,0.66373294124956,0.7325200152497141,0.6756927837951892,0.7029597921925876,0.6611476561901448,12837,7016,9222,19214
0.53,0.7148558273403764,0.7823566120240091,0.6617449108492618,0.7386605663800584,0.6586017724011816,0.6963376092210448,0.6624243436125687,13227,6626,9708,18728
0.54,0.7148558273403764,0.7823566120240091,0.6608544388991282,0.7466759399419056,0.6418272612181741,0.6902929329223321,0.6649674260052488,13661,6192,10185,18251
0.55,0.7148558273403764,0.7823566120240091,0.657499637598625,0.7524080281749904,0.6235757490504994,0.6819606561159932,0.6648327543922723,14018,5835,10704,17732
0.56,0.7148558273403764,0.7823566120240091,0.6550560168982584,0.7597583028271513,0.6057814038542693,0.6740887123598583,0.6657074046924598,14406,5447,11210,17226
0.5700000000000001,0.7148558273403764,0.7823566120240091,0.6523431837478515,0.7664714494875549,0.5891123927415952,0.6661894535910283,0.6660113920591066,14749,5104,11684,16752
0.5800000000000001,0.7148558273403764,0.7823566120240091,0.6472902731470935,0.7720679454146389,0.5690322126881417,0.6551807911892132,0.6642068331863618,15076,4777,12255,16181
0.59,0.7148558273403764,0.7823566120240091,0.6420716933463108,0.7768344752258961,0.5502532001688001,0.6442010786775906,0.661919528105354,15358,4495,12789,15647
0.6,0.7148558273403764,0.7823566120240091,0.6367495702955125,0.7828547691988161,0.5302081868054579,0.6322256001677325,0.6597799610297879,15671,4182,13359,15077
0.61,0.7148558273403764,0.7823566120240091,0.6322557932448384,0.7886570069204152,0.5129765086510057,0.6216227733742435,0.6580396571361612,15944,3909,13849,14587
0.62,0.7148558273403764,0.7823566120240091,0.6276584729441488,0.7956010403709148,0.49483049655366435,0.6101643467325788,0.6563710735929054,16238,3615,14365,14071
0.63,0.7148558273403764,0.7823566120240091,0.6231025699434654,0.8027685754850923,0.4772119848079899,0.5985884428760476,0.6546388337881686,16519,3334,14866,13570
0.64,0.7148558273403764,0.7823566120240091,0.6169521008925428,0.8084921472468807,0.45801097200731467,0.5847569873161971,0.6513094199179272,16768,3085,15412,13024
0.65,0.7148558273403764,0.7823566120240091,0.6112158048416824,0.8143135979180222,0.4401462934308623,0.5714285714285715,0.6481948411696699,16999,2854,15920,12516
0.66,0.7148558273403764,0.7823566120240091,0.6042576984406387,0.8194710879693067,0.42062878041918694,0.5559118795315114,0.6439516238770493,17218,2635,16475,11961
0.67,0.7148558273403764,0.7823566120240091,0.5968025844395204,0.8247138925105026,0.4004079336052891,0.5390843236589177,0.6392559992410669,17433,2420,17050,11386
0.68,0.7148558273403764,0.7823566120240091,0.5904450288885668,0.8306223749522719,0.38250808833872557,0.5238014976764345,0.6353934689414376,17635,2218,17559,10877
0.6900000000000001,0.7148558273403764,0.7823566120240091,0.5830727494874609,0.8357460574201375,0.36341257560838375,0.5065562118575525,0.6305553282514794,17822,2031,18102,10334
0.7000000000000001,0.7148558273403764,0.7823566120240091,0.5750377932862557,0.8408405822065282,0.3433323955549304,0.4875770969111294,0.625124113457715,18005,1848,18673,9763
0.7100000000000001,0.7148558273403764,0.7823566120240091,0.5668164592350224,0.8438529088913282,0.3244127162751442,0.4686547449705344,0.6192153744071535,18146,1707,19211,9225
0.72,0.7148558273403764,0.7823566120240091,0.5580567002837085,0.8487857634450889,0.30359403572935717,0.44722459657575053,0.6130623178193454,18315,1538,19803,8633
0.73,0.7148558273403764,0.7823566120240091,0.5506430035825964,0.8552895264212635,0.2851666901111267,0.4277237123190126,0.6080293733636276,18481,1372,20327,8109
0.74,0.7148558273403764,0.7823566120240091,0.5425045041313756,0.860290776919582,0.26635251090167394,0.4067669172932331,0.6021985694587955,18623,1230,20862,7574
0.75,0.7148558273403764,0.7823566120240091,0.5339311230300897,0.8646089522872602,0.24725699817133212,0.3845438634872019,0.5958996923562045,18752,1101,21405,7031
0.76,0.7148558273403764,0.7823566120240091,0.5257304976288596,0.8682459409103007,0.22942748628499085,0.36294853963838664,0.5897804836854864,18863,990,21912,6524
0.77,0.7148558273403764,0.7823566120240091,0.517239951127586,0.8732517482517482,0.21078914052609368,0.33960339943342777,0.5834835240735541,18983,870,22442,5994
0.78,0.7148558273403764,0.7823566120240091,0.5085837354262875,0.8767211015049632,0.19257279504853003,0.31578340349460815,0.5768938623910358,19083,770,22960,5476
0.79,0.7148558273403764,0.7823566120240091,0.5000103543250015,0.879018014835747,0.17502461668307778,0.2919232799577688,0.5702605076061337,19168,685,23459,4977
0.8,0.7148558273403764,0.7823566120240091,0.4925966576238895,0.8840296759078485,0.15923477282318188,0.2698611359437392,0.5646574307373855,19259,594,23908,4528
0.81,0.7148558273403764,0.7823566120240091,0.4840646938226097,0.8858457493426819,0.14217892811928542,0.2450303030303031,0.5579680214565097,19332,521,24393,4043
0.8200000000000001,0.7148558273403764,0.7823566120240091,0.4764853279214728,0.8892451899358658,0.1267759178506119,0.22191443521083412,0.5520798442826826,19404,449,24831,3605
